Designator,Mid X,Mid Y,Rotation,Layer
C1,152.001827,-106.437258,90.0,top
C10,184.176827,-92.912258,90.0,top
C11,165.449327,-90.037258,180.0,top
C12,155.526827,-90.162258,90.0,top
C13,149.424327,-104.225,180.0,top
C14,157.176827,-90.112258,90.0,top
C15,149.449327,-111.245,180.0,top
C16,152.401827,-90.162258,90.0,top
C17,149.449327,-109.475,180.0,top
C18,165.726827,-106.537258,90.0,top
C19,165.449327,-86.8436,0.0,top
C2,168.876827,-98.287258,270.0,top
C20,154.001827,-90.162258,90.0,top
C21,149.449327,-107.725,180.0,top
C22,159.376827,-89.912258,270.0,top
C23,158.625,-86.15,0.0,top
C24,149.449327,-105.975,180.0,top
C25,159.149327,-109.5,90.0,top
C26,179.876827,-89.212258,270.0,bottom
C27,164.249327,-95.187258,90.0,top
C28,162.676827,-95.187258,90.0,top
C29,180.876827,-94.912258,0.0,bottom
C3,164.176827,-99.512258,0.0,top
C30,180.876827,-97.212258,0.0,bottom
C31,143.276827,-106.112258,180.0,top
C32,136.476827,-109.912258,0.0,top
C33,136.501827,-105.712258,0.0,top
C34,176.724327,-102.275,0.0,bottom
C35,143.076827,-89.737258,270.0,top
C36,133.849327,-89.3,90.0,top
C37,147.249327,-95.612258,0.0,top
C38,149.474327,-102.475,180.0,top
C39,173.276827,-88.637258,270.0,bottom
C4,166.676827,-101.8,270.0,top
C40,147.224327,-93.875,180.0,top
C41,135.449327,-89.475,270.0,top
C42,167.3,-103.412258,270.0,bottom
C43,130.474327,-103.275,0.0,top
C44,176.749327,-103.875,0.0,bottom
C45,173.076827,-97.637258,90.0,bottom
C46,170.725,-109.0,0.0,bottom
C47,168.181839,-91.037258,90.0,bottom
C48,170.825,-113.8,0.0,bottom
C49,164.831839,-91.037258,90.0,bottom
C5,142.824327,-93.475,0.0,bottom
C50,175.676827,-88.637258,270.0,bottom
C51,168.676827,-84.837258,90.0,bottom
C6,171.076827,-107.472016,270.0,top
C7,168.826827,-106.537258,270.0,top
C8,180.776827,-110.012258,270.0,top
C9,171.376827,-114.612258,270.0,top
D1,182.476827,-104.012258,270.0,bottom
D2,163.376827,-102.112258,0.0,bottom
D3,133.226827,-109.312258,270.0,top
D4,174.8,-80.2,270.0,top
D5,163.2,-80.0,270.0,top
D6,147.4,-98.7,180.0,top
D7,132.1,-93.1,0.0,top
D8,144.626827,-116.087258,0.0,top
F1,177.076827,-109.302258,90.0,bottom
FB1,165.401827,-91.637258,180.0,top
FB2,150.776827,-90.162958,90.0,top
FB3,164.101827,-106.512258,90.0,top
FB4,165.401827,-88.4436,0.0,top
FB5,145.376827,-106.162258,90.0,top
H1,127.501827,-80.212258,0.0,top
H2,127.51,-115.18,0.0,top
H3,186.5,-80.25,0.0,top
H4,186.5,-115.25,0.0,top
IC1,156.249327,-97.875,270.0,top
IC2,171.776827,-83.012258,180.0,bottom
J1,187.176827,-104.462258,90.0,top
J2,178.599327,-116.225,0.0,top
J3,187.176827,-90.862258,90.0,top
J4,140.036827,-81.912258,90.0,top
J5,137.351827,-116.112258,0.0,top
L1,159.75,-111.5,270.0,bottom
L2,169.976827,-96.512258,90.0,bottom
R1,139.649327,-93.475,0.0,bottom
R10,148.049327,-96.9625,90.0,bottom
R11,184.176827,-95.912258,270.0,top
R12,184.176827,-99.012258,270.0,top
R13,171.681827,-80.357258,180.0,bottom
R14,175.8,-111.2,270.0,top
R15,159.551827,-111.837258,180.0,top
R16,165.851827,-95.237258,270.0,top
R17,162.651827,-111.837258,180.0,top
R18,165.751827,-111.837258,180.0,top
R19,153.526827,-110.337258,90.0,top
R2,167.376827,-98.212258,90.0,top
R20,162.076827,-92.212258,180.0,top
R21,159.149327,-106.45,270.0,top
R22,153.576827,-106.487258,270.0,top
R23,171.851827,-100.012258,0.0,bottom
R24,168.751827,-100.012258,0.0,bottom
R25,174.876827,-100.712258,180.0,bottom
R26,130.499327,-101.675,180.0,top
R27,130.449327,-100.075,0.0,top
R28,179.349327,-103.075,90.0,bottom
R29,177.976827,-100.712258,0.0,bottom
R3,137.449327,-96.475,0.0,bottom
R30,147.926827,-89.737258,270.0,top
R31,162.276827,-106.412258,90.0,top
R32,144.726827,-89.712258,270.0,top
R33,146.326827,-89.712258,270.0,top
R34,163.2,-83.025,90.0,top
R35,174.8,-83.175,90.0,top
R36,131.4,-89.3,270.0,top
R37,135.476827,-86.387258,90.0,top
R38,147.251827,-97.112258,0.0,top
R39,132.6,-91.6,0.0,top
R4,163.376827,-101.887258,90.0,top
R40,140.151827,-113.212258,180.0,top
R41,136.451827,-112.387258,270.0,top
R42,134.901827,-112.387258,270.0,top
R43,142.876827,-109.762258,270.0,top
R44,144.476827,-109.762258,270.0,top
R45,146.076827,-109.762258,270.0,top
R46,178.375,-85.4,180.0,top
R47,165.8,-82.025,270.0,top
R5,165.076827,-101.912258,90.0,top
R6,173.074327,-107.447016,90.0,top
R7,167.276827,-106.487258,90.0,top
R8,146.049327,-93.475,0.0,bottom
R9,148.474327,-99.675,0.0,bottom
S1,140.076827,-88.012258,270.0,top
S2,128.1,-94.9,270.0,top
T1,176.026827,-98.467258,270.0,top
TP1,176.0,-108.4,0.0,top
TP2,180.2,-83.6,0.0,top
TP3,165.6,-79.4,0.0,top
TP4,146.176827,-83.012258,0.0,top
TP5,130.17,-93.97,0.0,bottom
TP6,131.676827,-102.912258,0.0,bottom
TP7,128.276827,-97.812258,0.0,bottom
TP8,162.276827,-81.112258,0.0,bottom
TP9,157.4,-80.4,0.0,top
U1,148.076827,-115.294758,90.0,top
U3,156.249327,-107.894001,90.0,top
U4,170.976827,-103.462258,270.0,bottom
U5,138.8927,-98.025,0.0,top
U6,175.726827,-96.549758,90.0,bottom
U7,142.776827,-97.212258,90.0,bottom
Y2,139.876827,-107.987258,270.0,top
Y3,161.976827,-88.162258,270.0,top
